model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
qwen2.5:14b,A,12919,[Bug]: GenFw emits wrong relocation addend,basetools,high,medium,0.85,The bug affects a critical tool (GenFw) and impacts relocation addends which are crucial for proper binary linking.
qwen2.5:14b,A,12887,[Bug]: F2/ESC hotkeys do not work when a virtio device is present (202502+),ovmfpkg,high,medium,0.85,The bug affects critical hotkeys and impacts firmware functionality.
qwen2.5:14b,A,12882,[Bug]: DNSDxe doesn't accept all type of DNS response as per RFC,networkpkg,high,medium,0.85,The bug affects DNSDxe driver's compliance with RFC standards and could lead to network connectivity issues.
qwen2.5:14b,A,12766,[Bug]: Row/column arguments in Console Out are transposed,emulatorpkg,low,low,0.8,The bug does not impact build processes or critical functionalities and is specific to console output settings.
qwen2.5:14b,A,12708,[Bug]: Incompatible change at UEFI 2.11 type field at ARM Processor Error Information table,ueficpupkg,medium,high,0.8,The bug involves an incompatible change in a specification but does not indicate severe system crashes or security vulnerabilities.
qwen2.5:14b,A,12693,[Bug]: ManageabilityPkg CLANGDWARF CI failure (BaseManageabilityTransportHelper),manageabilitypkg,medium,medium,0.8,CI build failures typically indicate issues that need to be addressed but may not critically impact all systems or have high severity.
qwen2.5:14b,A,12689,[Bug]: UEFI Shell layout is messed up in DEBUG mode when no mapping is found,shellpkg,medium,low,0.8,Similar to other firmware issues impacting layout and functionality in specific build modes.
qwen2.5:14b,A,12680,[Bug]: ECC not generate enough 5 fields in UefiCpuPkg/Library/BaseRiscV64CpuTimerLib,ueficpupkg,medium,medium,0.8,The bug is related to a tool and does not specify severe impact on firmware or targets.
qwen2.5:14b,A,12678,"[Bug]: 057a611ae6 (""SecurityPkg: Added basic DxeImageVerificationLib tests"", 2025-06-22) DxeImageVerificationHandler Sanity Check",securitypkg,medium,high,0.8,"The bug is related to firmware and impacts a specific package, similar to other medium priority issues."
qwen2.5:14b,A,12675,[Bug]: Commit a9c9cfa0790c3fce6957db603488b85306c37385 causes crash on Ampere Altra systems,armpkg,high,high,0.9,The bug causes a crash on specific systems and impacts firmware.
qwen2.5:14b,A,12658,[Bug]: Update CryptoPkg OpenSSL submodule to OpenSSL 3.5.5 for CVE-2025-69419,cryptopkg,high,low,0.9,"The bug involves updating to fix a specific CVE, indicating high security impact."
qwen2.5:14b,A,12651,"[Bug]: Booting netboot.xyz over HTTPS fails with ""EE certificate key too weak""",cryptopkg,high,medium,0.9,The bug impacts secure booting over HTTPS and could compromise system security.
qwen2.5:14b,A,12646,[Bug]: ArmStandaloneMmCoreEntryPoint DelegatedEventLoop infinite loop on error path,armpkg,high,medium,0.85,"The bug involves an infinite loop in critical firmware code, which is likely to cause system instability or failure."
qwen2.5:14b,A,12644,[Bug]: Discover Nvme Namespaces function is called multiple times in NvmExpressDriverBindingStart,mdemodulepkg,medium,low,0.8,Similar to other firmware issues in MdeModulePkg with medium priority.
qwen2.5:14b,A,12617,[Bug]: FWTS Authenticated variable test fails,mdemodulepkg,high,high,0.85,The bug impacts firmware authentication variables which is critical security functionality.
qwen2.5:14b,A,12588,[Bug]: HDMI ports need changed during boot process,other,medium,medium,0.75,The bug impacts firmware functionality but does not indicate a system crash or severe security vulnerability like those classified as high priority.
qwen2.5:14b,A,12587,[Bug]: TPM table offset to LAML and LASL are incorrect,securitypkg,high,medium,0.85,The bug involves incorrect offsets in TPM table implementations which could lead to security vulnerabilities.
qwen2.5:14b,A,12566,[Bug]: Allocator: Some Logic Checks the Special Field Some Uses a List of Memory Types,mdemodulepkg,medium,medium,0.8,The bug involves logic checks in DXE core which could impact firmware functionality but lacks specific severity indicators like crashes or security vulnerabilities.
