number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
12919,https://github.com/tianocore/edk2/issues/12919,package:basetools | priority:medium | type:bug | state:needs-owner | state:needs-triage,[Bug]: GenFw emits wrong relocation addend,BaseTools/GenFw: Incorrect relocation addend for R_X86_64_64,90,"Meets all criteria, specifies package and symptom with condition.",75,Provides module name and specific error but lacks full repro steps.,85,Clearly better as it is more specific about the issue and easier to triage.,"Vague wording, missing concrete symptom","Package name BaseTools, specific relocation type R_X86_64_64",
12887,https://github.com/tianocore/edk2/issues/12887,priority:medium | package:ovmfpkg | type:bug | state:needs-owner | state:needs-triage,[Bug]: F2/ESC hotkeys do not work when a virtio device is present (202502+),OvmfPkg: F2/ESC hotkeys fail with virtio keyboard in EDK2 202502+,93,"Meets all criteria, specifies package, symptom, and condition.",87,"Provides clear module name, symptom, and reproducible steps.",92,Significantly improves clarity and specificity over the original title.,Vague wording | Lack of specific condition,Package: OvmfPkg | Symptom: F2/ESC hotkeys fail | Condition: virtio keyboard present,
12882,https://github.com/tianocore/edk2/issues/12882,priority:medium | package:networkpkg | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: DNSDxe doesn't accept all type of DNS response as per RFC,NetworkPkg/DnsDxe: Incorrect DNS response handling for uncompressed/partially compressed formats,90,"Meets all criteria, specifies package/module, symptom and condition clearly.",85,"Description provided module name, symptom, and repro steps.",92,Optimized title is more specific and actionable than the original vague description.,Vague wording | Lack of concrete symptom,Package impacted: NetworkPkg | Symptom: Incorrect DNS response handling | Condition: Uncompressed/partially compressed formats,
12766,https://github.com/tianocore/edk2/issues/12766,package:emulatorpkg | priority:low | type:bug | state:needs-owner | state:needs-triage,[Bug]: Row/column arguments in Console Out are transposed,EmulatorPkg: Incorrect resolution due to transposed PcdConOutRow and Column,85,"Meets most criteria, but lacks specific condition details.",70,Provides module name and symptom but missing exact repro steps.,80,Improves clarity and specificity over the original vague title.,"Vague wording, lack of specific symptom","Package name (EmulatorPkg), symptom description",
12708,https://github.com/tianocore/edk2/issues/12708,priority:high | package:ueficpupkg | type:bug | state:needs-triage,[Bug]: Incompatible change at UEFI 2.11 type field at ARM Processor Error Information table,UefiCpuPkg: ARM Processor Error Info Type field incompatible change,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, missing repro steps.",82,Improves clarity over original by specifying the issue in UefiCpuPkg.,Vague wording | Lacks specific symptom,Package name (UefiCpuPkg) | Incompatible change in Type field,
12693,https://github.com/tianocore/edk2/issues/12693,priority:medium | type:bug | package:manageabilitypkg,[Bug]: ManageabilityPkg CLANGDWARF CI failure (BaseManageabilityTransportHelper),ManageabilityPkg: Build error in BaseManageabilityTransportHelper CLANGDWARF,90,"Names package, states symptom (build error), includes condition (CLANGDWARF toolchain)",85,Provides module name and exact build failure details in CLANGDWARF,90,"More specific, actionable title that clearly identifies the issue and its context",Vague wording | Lack of concrete symptom,Package name | Specific module | Build error details,
12689,https://github.com/tianocore/edk2/issues/12689,package:shellpkg | priority:low | type:bug | state:needs-triage,[Bug]: UEFI Shell layout is messed up in DEBUG mode when no mapping is found,ShellPkg: Incorrect 'map' message placement in DEBUG mode,85,"Meets most criteria but lacks specific condition (e.g., NOOPT)",70,"Had module name and symptom, missing exact build conditions",82,Improved clarity and specificity over original vague title,Vague wording | Missing specific condition,Package impacted: ShellPkg | Incorrect layout symptom,
12680,https://github.com/tianocore/edk2/issues/12680,priority:medium | package:ueficpupkg | type:bug | state:needs-owner | state:needs-triage,[Bug]: ECC not generate enough 5 fields in UefiCpuPkg/Library/BaseRiscV64CpuTimerLib,UefiCpuPkg: ECC report parsing error due to missing fields,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, but no repro steps or exact error code.",82,Improved clarity on the issue without losing original context.,Vague wording | Lack of specific symptom,Module name UefiCpuPkg/Library/BaseRiscV64CpuTimerLib | Symptom related to ECC report parsing,
12678,https://github.com/tianocore/edk2/issues/12678,package:securitypkg | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: 057a611ae6 (""SecurityPkg: Added basic DxeImageVerificationLib tests"", 2025-06-22) DxeImageVerificationHandler Sanity Check",SecurityPkg: Incorrect sanity check for DxeImageVerificationHandler NULL File,85,Meets most criteria but lacks specific condition details.,70,"Provides module name and symptom, missing exact error code.",82,Improves clarity over original by specifying the issue with the sanity check.,Vague wording | Lack of specific symptom,Sanity check behavior in DxeImageVerificationHandler,
12675,https://github.com/tianocore/edk2/issues/12675,package:armpkg | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Commit a9c9cfa0790c3fce6957db603488b85306c37385 causes crash on Ampere Altra systems,ArmPkg: Boot failure on Ampere Altra systems after commit a9c9cfa,85,Meets most criteria but lacks specific module name and exact symptom,70,"Provides package, system details, and repro steps but no stack trace or error code",85,Significantly improves clarity and specificity over the original vague title,Vague symptom description | Lacks specific module name,Package: ArmPkg | Trigger condition: Ampere Altra systems | Commit hash,
