ghsa_id,cve_id,url,published_at,original_summary,github_severity,github_severity_source,cvss_score,cvss_vector,cvss_version,cwe_ids,llm_package,llm_package_confirmed,llm_component,llm_build_target,llm_architecture,llm_affected_devices,llm_impact,llm_severity_confirmed,llm_severity_override,llm_severity_reason,llm_patch_complexity,llm_patch_complexity_reason,llm_criticality_score,llm_criticality_reason,llm_reflective_confidence,llm_reflective_confidence_reason,llm_package_confidence,llm_component_confidence,llm_build_target_confidence,llm_architecture_confidence,llm_affected_devices_confidence,llm_impact_confidence,llm_severity_confidence,llm_patch_complexity_confidence,llm_criticality_confidence,ground_truth_package,ground_truth_package_source,ground_truth_component,ground_truth_component_source,ground_truth_patch_complexity,fix_ref_url,fix_files_changed,fix_lines_changed,package_match,component_match,patch_complexity_match,severity_match,package_valid,component_valid,device_valid,package,package_source,component,component_source,build_target,architecture,affected_devices,impact,severity_score,patch_complexity,patch_complexity_source,patch_complexity_reason,criticality_score,criticality_reason,validation_warnings,ai_error
GHSA-6pp6-cm5h-86g5,CVE-2025-2296,https://github.com/tianocore/edk2/security/advisories/GHSA-6pp6-cm5h-86g5,2025-12-09T19:37:45Z,Un-verified kernel bypass Secure Boot mechanism in direct boot mode,High,reported,8.4,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L,v4,CWE-20,OvmfPkg,Yes,OvmfPkg/Library/X86QemuLoadImageLib/X86QemuLoadImageLib.c,DEBUG | RELEASE | NOOPT,IA32 | X64,QEMU/KVM virtual machines using OVMF firmware with Secure Boot enabled in direct boot mode,"An attacker with control over the kernel image in QEMU direct boot mode can bypass Secure Boot verification, enabling execution of an unsigned or malicious kernel.",Uncertain,High,"The CVSS 4.0 vector assigns PR:H (high privilege required) which conflicts with the advisory's framing of an attacker bypassing Secure Boot, but the net effect — Secure Boot bypass leading to arbitrary code execution — is a High-severity outcome; the CVSS 4.0 score of 8.4 aligns with High, though the PR:H assumption may understate real-world exploitability in virtualized environments where the hypervisor/host controls the kernel image path.",simple,"The fix is localized to a single function (QemuLoadKernelImage) in one source file, removing or conditioning the fallback to the legacy loader when EFI_ACCESS_DENIED is returned, as confirmed by the referenced upstream PR and prior commit.",high,"The affected component sits directly in the Secure Boot enforcement path for OVMF, and its failure allows complete bypass of the platform's kernel integrity guarantee.",78,"The advisory text, referenced source file, and upstream patch PR provide strong grounding for most fields, but the CVSS vector's PR:H assumption and the virtualization-specific threat model introduce some ambiguity around severity and real-world exploitability.",97,95,55,90,88,92,65,85,88,OvmfPkg,ghsa-reported,,,,,,,True,,,False,,True,True,OvmfPkg,ghsa-reported,OvmfPkg/Library/X86QemuLoadImageLib/X86QemuLoadImageLib.c,llm,DEBUG | RELEASE | NOOPT,IA32 | X64,QEMU/KVM virtual machines using OVMF firmware with Secure Boot enabled in direct boot mode,"An attacker with control over the kernel image in QEMU direct boot mode can bypass Secure Boot verification, enabling execution of an unsigned or malicious kernel.",High,simple,llm,"The fix is localized to a single function (QemuLoadKernelImage) in one source file, removing or conditioning the fallback to the legacy loader when EFI_ACCESS_DENIED is returned, as confirmed by the referenced upstream PR and prior commit.",high,"The affected component sits directly in the Secure Boot enforcement path for OVMF, and its failure allows complete bypass of the platform's kernel integrity guarantee.",severity: LLM disagreed with GitHub's 'High' rating (suggested 'High'),
GHSA-q2c6-37h5-7cwf,CVE-2024-38798,https://github.com/tianocore/edk2/security/advisories/GHSA-q2c6-37h5-7cwf,2025-12-09T19:36:07Z,MdeModulePkg/Bus/Usb/UsbKbDxe: Uncleared password keystrokes in circular queue can lead to information disclosure or escalation of privilege,Moderate,derived-from-cvss,5.8,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:H/VI:L/VA:L/SC:L/SI:L/SA:L,v4,CWE-200,MdeModulePkg,Yes,MdeModulePkg/Bus/Usb/UsbKbDxe,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker with local memory access can read uncleared password keystrokes from the USB keyboard driver's circular queue buffer, potentially disclosing credentials or enabling privilege escalation.",Yes,,"The vulnerability requires local access and specific preconditions (physical or privileged memory inspection after password entry), and the primary impact is information disclosure of credentials, which is consistent with Moderate severity under the UEFI firmware threat model.",simple,"The fix is a targeted zeroing/clearing of the circular queue buffer after password entry in a single driver (UsbKbDxe), as confirmed by the single-commit patch referenced in the advisory.",medium,"UsbKbDxe is a USB keyboard driver used broadly across platforms but is not a core security or cryptographic component; however, it handles sensitive credential input during pre-boot, elevating its importance above purely optional components.",82,"The advisory text, patch reference, and CVSS vector are all consistent and clearly identify the affected component and impact, though architecture and build-target independence are inferred rather than explicitly stated.",98,99,60,55,95,90,82,88,75,MdeModulePkg,ghsa-reported,,,,,,,True,,,True,,True,,MdeModulePkg,ghsa-reported,MdeModulePkg/Bus/Usb/UsbKbDxe,llm,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker with local memory access can read uncleared password keystrokes from the USB keyboard driver's circular queue buffer, potentially disclosing credentials or enabling privilege escalation.",Moderate,simple,llm,"The fix is a targeted zeroing/clearing of the circular queue buffer after password entry in a single driver (UsbKbDxe), as confirmed by the single-commit patch referenced in the advisory.",medium,"UsbKbDxe is a USB keyboard driver used broadly across platforms but is not a core security or cryptographic component; however, it handles sensitive credential input during pre-boot, elevating its importance above purely optional components.",,
GHSA-p7wp-52j7-6r5x,CVE-2024-38805,https://github.com/tianocore/edk2/security/advisories/GHSA-p7wp-52j7-6r5x,2025-08-13T15:49:05Z,iSCSI Remote Memory Corruption and Denial of Service,Moderate,derived-from-cvss,6.3,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:H,v3,,NetworkPkg,Yes,NetworkPkg/IScsiDxe,DEBUG | RELEASE | NOOPT,IA32 | X64 | AARCH64 | ARM | RISCV64 | LOONGARCH64,Not specified,"A malicious iSCSI target can send a malformed login response packet causing out-of-bounds memory reads and writes in the iSCSI initiator, most likely resulting in denial of service.",Yes,,"The CVSS vector (AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:H, score 6.3) and advisory text align with Moderate — network-adjacent attacker with low privilege required, primarily DoS impact with limited write primitive exploitability, consistent with GitHub's Moderate rating.",moderate,"The fix requires input validation in IScsiProcessLoginRsp and IScsiUpdateTargetAddress/IScsiBuildKeyValueList to properly bounds-check the data segment length before processing, spanning multiple functions but within a single driver.",high,"NetworkPkg is a boot-path network stack component used broadly across UEFI platforms, and iSCSI boot is a security-sensitive network boot path where remote attackers can influence firmware behavior.",82,"The advisory text is detailed and clearly identifies the affected package, component, and functions, with a well-matched CVSS vector, though the truncated description leaves some implementation details unconfirmed.",97,93,70,75,95,90,85,78,88,NetworkPkg,ghsa-reported,,,,,,,True,,,True,,True,,NetworkPkg,ghsa-reported,NetworkPkg/IScsiDxe,llm,DEBUG | RELEASE | NOOPT,IA32 | X64 | AARCH64 | ARM | RISCV64 | LOONGARCH64,Not specified,"A malicious iSCSI target can send a malformed login response packet causing out-of-bounds memory reads and writes in the iSCSI initiator, most likely resulting in denial of service.",Moderate,moderate,llm,"The fix requires input validation in IScsiProcessLoginRsp and IScsiUpdateTargetAddress/IScsiBuildKeyValueList to properly bounds-check the data segment length before processing, spanning multiple functions but within a single driver.",high,"NetworkPkg is a boot-path network stack component used broadly across UEFI platforms, and iSCSI boot is a security-sensitive network boot path where remote attackers can influence firmware behavior.",,
GHSA-vx5v-4gg6-6qxr,CVE-2025-3770,https://github.com/tianocore/edk2/security/advisories/GHSA-vx5v-4gg6-6qxr,2025-08-07T00:37:01Z,SMM IDT privilege escalation vulnerability,High,reported,7.0,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,v3,,UefiCpuPkg,Yes,UefiCpuPkg/PiSmmCpuDxeSmm,DEBUG | RELEASE | NOOPT,X64,Not specified,"An attacker who can trigger a Machine Check Exception before the SMM IDT is fully installed can redirect execution to an untrusted handler, achieving arbitrary code execution with SMM (ring -2) privileges.",Yes,,The CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H vector scoring 7.0 is consistent with a High rating — local access with high attack complexity required but full SMM privilege escalation as the outcome.,simple,"The fix is a single-file reordering of two instruction sequences in X64/SmiEntry.nasm (enabling MCE after IDT installation rather than before), with no architectural or cross-package changes needed.",high,"PiSmmCpuDxeSmm is a core SMM entry-point driver in the boot path; SMM is the highest privilege execution environment on x86 platforms, making any privilege escalation into it critically sensitive.",88,"The advisory is detailed and includes a concrete patch diff clearly identifying the affected file and fix, giving high confidence in all fields; minor uncertainty remains around exact build-target scope and whether any other packages are transitively affected.",97,99,55,95,90,95,90,95,97,UefiCpuPkg,ghsa-reported,,,,,,,True,,,True,,True,,UefiCpuPkg,ghsa-reported,UefiCpuPkg/PiSmmCpuDxeSmm,llm,DEBUG | RELEASE | NOOPT,X64,Not specified,"An attacker who can trigger a Machine Check Exception before the SMM IDT is fully installed can redirect execution to an untrusted handler, achieving arbitrary code execution with SMM (ring -2) privileges.",High,simple,llm,"The fix is a single-file reordering of two instruction sequences in X64/SmiEntry.nasm (enabling MCE after IDT installation rather than before), with no architectural or cross-package changes needed.",high,"PiSmmCpuDxeSmm is a core SMM entry-point driver in the boot path; SMM is the highest privilege execution environment on x86 platforms, making any privilege escalation into it critically sensitive.",,
GHSA-4wjw-6xmf-44xf,CVE-2024-38797,https://github.com/tianocore/edk2/security/advisories/GHSA-4wjw-6xmf-44xf,2025-04-07T17:15:20Z,Out of bound read in HashPeImageByType,Moderate,derived-from-cvss,4.6,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:L,v3,CWE-125,SecurityPkg,Yes,SecurityPkg/Library/DxeImageVerificationLib,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker supplying a malformed PE image with a truncated authentication blob could trigger an out-of-bounds read in HashPeImageByType(), potentially leaking memory contents or causing a denial of service during image verification.",Yes,,"The CVSS vector (AV:A/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:L, score 4.6) reflects adjacent-network access with low privilege required and limited integrity/availability impact, which is consistent with a Moderate rating for an out-of-bounds read with no direct code execution path.",simple,"The fix is a straightforward bounds check before reading the 2nd byte of the auth blob in a single function (HashPeImageByType), as evidenced by the referenced bugzilla patch and single-PR upstream fix.",high,"HashPeImageByType resides in SecurityPkg's image verification library, which is directly on the Secure Boot code path and is therefore a security-sensitive, boot-critical component.",78,"The advisory text, bugzilla reference, and PR clearly identify the function and package; the main uncertainty is the exact sub-module path and whether the impact extends beyond a read to any integrity consequence.",95,72,60,40,95,80,82,85,90,SecurityPkg,ghsa-reported,,,,,,,True,,,True,,True,,SecurityPkg,ghsa-reported,SecurityPkg/Library/DxeImageVerificationLib,llm,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker supplying a malformed PE image with a truncated authentication blob could trigger an out-of-bounds read in HashPeImageByType(), potentially leaking memory contents or causing a denial of service during image verification.",Moderate,simple,llm,"The fix is a straightforward bounds check before reading the 2nd byte of the auth blob in a single function (HashPeImageByType), as evidenced by the referenced bugzilla patch and single-PR upstream fix.",high,"HashPeImageByType resides in SecurityPkg's image verification library, which is directly on the Secure Boot code path and is therefore a security-sensitive, boot-critical component.",,
GHSA-8522-69fh-w74x,CVE-2025-2295,https://github.com/tianocore/edk2/security/advisories/GHSA-8522-69fh-w74x,2025-03-14T18:54:27Z,Remote Memory Exposure in iSCSI DXE,Low,reported,3.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:L,v3,CWE-190,NetworkPkg,No,NetworkPkg/IScsiDxe,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"A malicious iSCSI target can exploit an integer overflow in R2T PDU processing to advance a data pointer beyond the output buffer boundary, causing the BIOS to transmit unintended memory contents to the attacker.",No,Moderate,"The vulnerability is remotely exploitable over the network (AV:N) with no user interaction required during iSCSI boot, and results in memory disclosure of potentially sensitive BIOS memory contents — this is more consistent with Moderate than Low, despite the CVSS vector's PR:H and UI:R ratings which appear to underestimate the iSCSI boot threat model where the 'target' is the attacker.",simple,"The root cause is a single integer overflow check in IScsiOnR2TRcvd that can be fixed by casting operands to a wider type (e.g., UINT64) or reordering the arithmetic before comparison, confined to a single file in NetworkPkg/IScsiDxe.",high,"NetworkPkg/IScsiDxe is a network boot path component that processes untrusted remote data during pre-OS firmware execution, making it a high-criticality security-sensitive module.",78,"The advisory text clearly identifies the vulnerable function, root cause (integer overflow), and affected module, but the truncated code snippet and ambiguous CVSS vector (PR:H/UI:R seem inconsistent with a network-boot iSCSI attack scenario) introduce some uncertainty in severity and impact assessment.",95,98,55,40,90,82,72,85,90,NetworkPkg,ghsa-reported,NetworkPkg/IScsiDxe,ghsa-reported,,,,,True,True,,False,,,,NetworkPkg,ghsa-reported,NetworkPkg/IScsiDxe,ghsa-reported,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"A malicious iSCSI target can exploit an integer overflow in R2T PDU processing to advance a data pointer beyond the output buffer boundary, causing the BIOS to transmit unintended memory contents to the attacker.",Moderate,simple,llm,"The root cause is a single integer overflow check in IScsiOnR2TRcvd that can be fixed by casting operands to a wider type (e.g., UINT64) or reordering the arithmetic before comparison, confined to a single file in NetworkPkg/IScsiDxe.",high,"NetworkPkg/IScsiDxe is a network boot path component that processes untrusted remote data during pre-OS firmware execution, making it a high-criticality security-sensitive module.",severity: LLM disagreed with GitHub's 'Low' rating (suggested 'Moderate'),
GHSA-xpcr-7hjq-m6qm,CVE-2024-38796,https://github.com/tianocore/edk2/security/advisories/GHSA-xpcr-7hjq-m6qm,2024-09-27T18:53:06Z,Integer overflows in PeCoffLoaderRelocateImage,Moderate,derived-from-cvss,5.9,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:L,v3,CWE-122,MdePkg,Yes,MdePkg/Library/BasePeCoffLib/BasePeCoff.c,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker who can supply a malicious PE/COFF image may trigger an integer overflow in PeCoffLoaderRelocateImage(), leading to memory corruption that could result in loss of confidentiality, integrity, or availability.",Uncertain,High,"The vulnerability causes memory corruption in a core boot-path PE/COFF loader used across all UEFI platforms, which is more consistent with High severity than Moderate, though the CVSS vector's AV:A/AC:H/PR:L constraints partially justify Moderate; the memory corruption impact and boot-path criticality argue for High.",simple,"The fix is a targeted integer overflow check in a single function (PeCoffLoaderRelocateImage) in a single file (BasePeCoff.c), as confirmed by the referenced bugzilla and pull request.",high,"BasePeCoffLib is a foundational boot-path library used universally across all EDK2 platforms to load PE/COFF images, making it a high-criticality component whose compromise can affect the entire firmware execution chain.",72,"The advisory text, bugzilla reference, and pull request clearly identify the affected file and function, but the CVSS vector's network vector (AV:A) and the severity rating are somewhat inconsistent with the boot-path nature of the component, introducing uncertainty in severity and impact assessment.",92,90,60,40,95,80,55,85,88,MdePkg,ghsa-reported,,,,,,,True,,,False,,True,,MdePkg,ghsa-reported,MdePkg/Library/BasePeCoffLib/BasePeCoff.c,llm,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker who can supply a malicious PE/COFF image may trigger an integer overflow in PeCoffLoaderRelocateImage(), leading to memory corruption that could result in loss of confidentiality, integrity, or availability.",Moderate,simple,llm,"The fix is a targeted integer overflow check in a single function (PeCoffLoaderRelocateImage) in a single file (BasePeCoff.c), as confirmed by the referenced bugzilla and pull request.",high,"BasePeCoffLib is a foundational boot-path library used universally across all EDK2 platforms to load PE/COFF images, making it a high-criticality component whose compromise can affect the entire firmware execution chain.",severity: LLM disagreed with GitHub's 'Moderate' rating (suggested 'High'),
GHSA-chfw-xj8f-6m53,CVE-2024-1298,https://github.com/tianocore/edk2/security/advisories/GHSA-chfw-xj8f-6m53,2024-05-31T16:20:27Z,Temporary DoS vulnerability in FirmwarePerformancePei,Moderate,derived-from-cvss,6.0,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:N/I:N/A:H,v3,CWE-369,MdeModulePkg,Yes,MdeModulePkg/Universal/Acpi/FirmwarePerformanceDataTablePei/FirmwarePerformancePei.c,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker with physical memory write access can trigger a division-by-zero in DivU64x32() during S3 resume, causing a system crash and temporary denial of service.",Yes,,"The vulnerability requires high-privilege physical memory modification, results only in a temporary DoS (system crash during S3 resume, not persistent), and the CVSS:3.1 score of 6.0 with AV:L/AC:L/PR:H/S:C/C:N/I:N/A:H is consistent with a Moderate rating.",simple,"The fix is a single-file change adding an overflow check or saturation guard before the DivU64x32() call, with a clear root cause (missing UINT32 overflow check on ResumeCount).",medium,"FirmwarePerformancePei is an optional ACPI performance data collection module in the PEI S3 resume path; it is not a core security or boot-integrity component, but it does execute in the early boot path on platforms that enable it.",85,"The advisory is detailed and specific, with a clear code path, CWE, CVSS vector, and patch reference, leaving little ambiguity in the analysis; the main uncertainty is architecture scope since the bug is logic-level and not architecture-specific.",98,99,60,50,95,97,90,88,75,MdeModulePkg,ghsa-reported,,,,,,,True,,,True,,False,,MdeModulePkg,ghsa-reported,MdeModulePkg/Universal/Acpi/FirmwarePerformanceDataTablePei/FirmwarePerformancePei.c,llm,DEBUG | RELEASE | NOOPT,Not Sure,Not specified,"An attacker with physical memory write access can trigger a division-by-zero in DivU64x32() during S3 resume, causing a system crash and temporary denial of service.",Moderate,simple,llm,"The fix is a single-file change adding an overflow check or saturation guard before the DivU64x32() call, with a clear root cause (missing UINT32 overflow check on ResumeCount).",medium,"FirmwarePerformancePei is an optional ACPI performance data collection module in the PEI S3 resume path; it is not a core security or boot-integrity component, but it does execute in the early boot path on platforms that enable it.",component: no close match in edk2 repo tree — verify: 'MdeModulePkg/Universal/Acpi/FirmwarePerformanceDataTablePei/FirmwarePerformancePei.c',
GHSA-hc6x-cw6p-gj7h,CVE-2023-45229,https://github.com/tianocore/edk2/security/advisories/GHSA-hc6x-cw6p-gj7h,2024-01-16T16:11:48Z,Vulnerabilities in EDK2 NetworkPkg IP stack implementation,High,reported,8.3,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:H,v3,CWE-119 | CWE-125 | CWE-338 | CWE-835,NetworkPkg,Yes,NetworkPkg/Dhcp6Dxe,DEBUG | RELEASE | NOOPT,IA32 | X64 | AARCH64 | ARM | RISCV64,Not specified,"A network-adjacent attacker can exploit out-of-bounds reads, buffer overflows, infinite loops, and weak PRNG usage in the EDK2 DHCPv6 and related network stack to achieve information disclosure, denial of service, or potentially arbitrary code execution during pre-boot network operations.",Uncertain,High,"This GHSA bundles 9 CVEs with CVSS scores ranging from 5.8 to 8.3; GitHub's 'High' rating is consistent with the highest-scoring CVEs (8.3), but the GHSA-level severity is ambiguous because it conflates multiple distinct vulnerabilities with different impacts — the overall 'High' label is defensible but the specific CVE this GHSA record is anchored to (CVE-2023-45229) has CVSS 6.5, which is more Moderate-consistent.",moderate,"The 9 CVEs span multiple vulnerability classes (OOB read, buffer overflow, infinite loop, weak PRNG) across the NetworkPkg DHCPv6/IP stack, requiring fixes in multiple files and modules, but the root causes are well-understood and localized to NetworkPkg.",high,"NetworkPkg implements the pre-boot network stack used in PXE/network boot scenarios and is security-sensitive, as exploitation occurs before the OS loads and can undermine the entire boot chain.",62,"The advisory bundles 9 CVEs under one GHSA with minimal per-CVE technical detail, making it difficult to precisely attribute components, architectures, and impact for the specific CVE (CVE-2023-45229) this record is anchored to versus the group as a whole.",97,55,50,60,90,65,55,70,90,NetworkPkg,ghsa-reported,,,,,,,True,,,False,,True,,NetworkPkg,ghsa-reported,NetworkPkg/Dhcp6Dxe,llm,DEBUG | RELEASE | NOOPT,IA32 | X64 | AARCH64 | ARM | RISCV64,Not specified,"A network-adjacent attacker can exploit out-of-bounds reads, buffer overflows, infinite loops, and weak PRNG usage in the EDK2 DHCPv6 and related network stack to achieve information disclosure, denial of service, or potentially arbitrary code execution during pre-boot network operations.",High,moderate,llm,"The 9 CVEs span multiple vulnerability classes (OOB read, buffer overflow, infinite loop, weak PRNG) across the NetworkPkg DHCPv6/IP stack, requiring fixes in multiple files and modules, but the root causes are well-understood and localized to NetworkPkg.",high,"NetworkPkg implements the pre-boot network stack used in PXE/network boot scenarios and is security-sensitive, as exploitation occurs before the OS loads and can undermine the entire boot chain.",severity: LLM disagreed with GitHub's 'High' rating (suggested 'High'),
GHSA-xvv8-66cq-prwr,CVE-2022-36763,https://github.com/tianocore/edk2/security/advisories/GHSA-xvv8-66cq-prwr,2024-01-09T16:12:59Z,Heap Buffer Overflow in Tcg2MeasureGptTable(),High,reported,7.0,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:L/I:L/A:H,v3,CWE-680,SecurityPkg,Yes,SecurityPkg/Library/DxeTpm2MeasureBootLib,DEBUG | RELEASE | NOOPT,IA32 | X64 | AARCH64 | ARM | RISCV64,Not specified,"An attacker who can supply a malicious GPT table can trigger a heap buffer overflow via integer overflow in Tcg2MeasureGptTable(), potentially achieving arbitrary code execution in the DXE phase.",Yes,,"The CVSS vector (AV:L/AC:H/PR:L/UI:N/S:C/C:L/I:L/A:H, score 7.0) and advisory text are consistent with High severity — local access with high complexity is required, but the impact includes potential arbitrary code execution in the DXE phase.",simple,"The root cause is a missing integer overflow check on a specific arithmetic expression in a single function in one file, making the fix straightforward — add bounds/overflow validation before the multiplication and allocation.",high,"DxeTpm2MeasureBootLib is part of the measured boot path in SecurityPkg, a security-sensitive component where exploitation can undermine platform integrity and TPM measurements.",88,"The advisory text is detailed and specific, clearly identifying the file, line, and root cause, with strong alignment between the CVSS vector, severity rating, and described impact, leaving little ambiguity.",97,98,60,70,95,95,90,85,93,SecurityPkg,ghsa-reported,,,,,,,True,,,True,,True,,SecurityPkg,ghsa-reported,SecurityPkg/Library/DxeTpm2MeasureBootLib,llm,DEBUG | RELEASE | NOOPT,IA32 | X64 | AARCH64 | ARM | RISCV64,Not specified,"An attacker who can supply a malicious GPT table can trigger a heap buffer overflow via integer overflow in Tcg2MeasureGptTable(), potentially achieving arbitrary code execution in the DXE phase.",High,simple,llm,"The root cause is a missing integer overflow check on a specific arithmetic expression in a single function in one file, making the fix straightforward — add bounds/overflow validation before the multiplication and allocation.",high,"DxeTpm2MeasureBootLib is part of the measured boot path in SecurityPkg, a security-sensitive component where exploitation can undermine platform integrity and TPM measurements.",,
