number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
12651,https://github.com/tianocore/edk2/issues/12651,priority:medium | package:cryptopkg | type:bug | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: Booting netboot.xyz over HTTPS fails with ""EE certificate key too weak""","CryptoPkg/TlsLib: HTTPS boot fails due to ""EE certificate key too weak""",85,"Names the package and module, states the concrete symptom (HTTPS boot failure) with the exact error string, and follows the required format; condition (HTTPS boot) is included but target environment detail is implicit.",88,"Description provided the exact TLS error message, the specific code path (TlsDoHandshake), and clear repro steps with HTTP vs HTTPS comparison.",82,"The optimized title is more specific by naming CryptoPkg/TlsLib and preserving the exact error string, making it easier to triage than the original which lacked package/module identification.",No package or module name specified | Title is written as a narrative sentence rather than following 'Package/Module: symptom condition' format | Quotes around the error message make it verbose but the error string itself is useful,Exact TLS error: 'EE certificate key too weak' (X509_verify_result: 66) from debug log | TlsDoHandshake as the specific function/module involved | CryptoPkg identified as the impacted package | HTTPS boot as the trigger condition,
12646,https://github.com/tianocore/edk2/issues/12646,priority:medium | package:armpkg | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: ArmStandaloneMmCoreEntryPoint DelegatedEventLoop infinite loop on error path,ArmPkg/StandaloneMmCoreEntryPoint: System hang in DelegatedEventLoop on invalid FF-A response,82,"Names the package and module, states the concrete symptom (system hang), and includes the trigger condition (invalid FF-A response), though slightly over 100 chars.",88,"Description clearly identified the module, the infinite loop/hang symptom, the FF-A ABI violation trigger, and the DoS security implication.",75,"The optimized title is more specific about the symptom (hang vs infinite loop) and trigger condition, but the original title was already fairly descriptive; improvement is meaningful but incremental.",Title uses informal '[Bug]:' prefix not needed in edk2 convention | Does not clearly state the concrete symptom (hang vs infinite loop ambiguity) | Does not mention the trigger condition (invalid FF-A direct request response / ValidateMmCommBufferAddr failure) | Module name is slightly verbose and could be shortened,Module identified as ArmStandaloneMmCoreEntryPoint in ArmPkg | Infinite loop causing system hang as the concrete symptom | FF-A direct request/response ABI violation as the trigger | ValidateMmCommBufferAddr failure as the error path condition | Hafnium returning FFA_ERROR(FFA_NOT_SUPPORTED) causing the loop,
12644,https://github.com/tianocore/edk2/issues/12644,package:mdemodulepkg | priority:low | type:bug | state:needs-maintainer-feedback | state:needs-triage,[Bug]: Discover Nvme Namespaces function is called multiple times in NvmExpressDriverBindingStart,MdeModulePkg/NvmExpressDxe: DiscoverAllNamespaces called redundantly in DriverBindingStart,82,"Names the package and module, states the concrete symptom (redundant/duplicate call), and identifies the trigger function, but lacks a precise impact description (e.g., performance hit or incorrect behavior).",72,"Description named the exact function, module, and code location, but lacked concrete impact (no assert, hang, or data corruption described), making the symptom somewhat ambiguous.",78,"The optimized title is more precise and follows edk2 conventions better than the original, though both convey similar information; the improvement is mainly in format and conciseness.",Title is too long and verbose (over 100 characters) | Does not follow 'Package/Module: symptom condition' format | Uses informal phrasing ('is called multiple times') instead of technical symptom terminology | Missing package/module prefix,Module identified as NvmExpressDxe from MdeModulePkg | Specific function NvmExpressDriverBindingStart identified as the trigger | Behavior: DiscoverNvmeNamespaces called even when driver is already started | Code reference at NvmExpress.c lines 1149-1172,
12617,https://github.com/tianocore/edk2/issues/12617,package:mdemodulepkg | priority:high | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: FWTS Authenticated variable test fails,MdeModulePkg: Authenticated variable validation bypassed on RELEASE build,78,"Names the package, states the concrete symptom (validation bypassed), and includes the trigger condition (RELEASE build), but lacks a specific module name within MdeModulePkg.",72,"Description provided clear FWTS test failure details, affected package, and build target, but did not identify the specific driver/module (e.g., AuthVariableLib or VariableSmm) responsible.",82,"The optimized title is clearly more specific and actionable than the vague original, naming the package, symptom, and condition instead of just referencing a test tool name.",Does not name the edk2 package or module | References an external tool (FWTS) rather than the firmware component that is broken | Symptom is vague ('fails') without describing what actually goes wrong | No trigger condition specified (RELEASE build),"MdeModulePkg identified as the impacted package | RELEASE target identified as the affected build type | FWTS tests 8-10 show authenticated variable writes succeed when they should fail (validation bypassed) | Test 11 shows EFI_SECURITY_VIOLATION returned unexpectedly, suggesting inconsistent auth variable enforcement",
12588,https://github.com/tianocore/edk2/issues/12588,priority:medium | type:bug | package:other | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: HDMI ports need changed during boot process,ArmPlatform/OrangePi5: HDMI output switches port on kernel GPU driver handoff,52,"States the symptom and trigger condition but the package is inferred/uncertain since no specific edk2 package is named in the report, reducing precision.",35,"Description describes the symptom and repro steps but lacks specific edk2 module names, stack traces, or error codes, requiring significant inference.",55,"The optimized title is more specific about the symptom and trigger than the original vague title, but the package attribution is uncertain since this appears to be a platform-specific issue not clearly tied to a named edk2 package.",No package or module name specified | Vague description 'need changed' does not describe a concrete symptom | Does not mention the trigger condition (kernel GPU driver handoff) | Does not follow 'Package/Module: symptom condition' format,Orange Pi 5 Plus platform identified from description | HDMI port switching behavior during kernel GPU driver load described | GOM disable as trigger condition mentioned | Firmware-to-OS handoff as the likely cause identified,
12587,https://github.com/tianocore/edk2/issues/12587,priority:medium | package:securitypkg | type:bug | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,[Bug]: TPM table offset to LAML and LASL are incorrect,SecurityPkg/Tcg2Acpi: LAML/LASL offsets incorrect in TPM2 ACPI table,88,"Names the package and module, states the concrete symptom (incorrect offsets), and identifies the affected component (TPM2 ACPI table), meeting 5 of 6 criteria well; trigger condition is implicit (spec compliance issue).",82,"Description clearly identified the affected modules (Tcg2Acpi, Tcg2AcpiFfa), the symptom (wrong LAML/LASL offsets), and referenced the TCG spec, providing strong context for title generation.",80,"The optimized title adds package/module specificity and follows edk2 conventions better than the original, though the original title was already reasonably descriptive about the symptom.",Missing package/module prefix (no 'SecurityPkg/Tcg2Acpi:' prefix) | Uses informal '[Bug]:' tag instead of edk2 title convention | Does not follow 'Package/Module: symptom condition' format,"Three TPM2 table implementations identified: Tcg2AcpiFfa, Tcg2Acpi, and DynamicTablesPkg | LAML and LASL field offsets are incorrect per TCG ACPI spec | SecurityPkg identified as the primary impacted package | Offsets should be 68 bytes from table start per TCG spec",
12566,https://github.com/tianocore/edk2/issues/12566,package:mdemodulepkg | priority:medium | type:bug | state:needs-triage,[Bug]: Allocator: Some Logic Checks the Special Field Some Uses a List of Memory Types,MdeModulePkg/DxeCore: EfiACPIReclaimMemory skips runtime page granularity on AARCH64,85,"Names package/module, states concrete symptom (skips runtime page granularity enforcement), and includes trigger condition (EfiACPIReclaimMemory on AARCH64), within length limits.",72,"Description named the affected module (DXE core), the concrete symptom (EfiACPIReclaimMemory missing runtime page granularity on AARCH64), and the root cause, but lacked repro steps or exact error codes.",82,"The optimized title is clearly more specific and actionable than the vague original, naming the module, symptom, and platform condition, though it focuses on one fallout rather than the broader inconsistency.","Title is vague and describes implementation detail rather than a concrete symptom | No package or module name specified | No trigger condition or platform mentioned | Uses abstract language ('Some Logic', 'Special Field') that is not actionable for triage",DXE core identified as the affected module | EfiACPIReclaimMemory missing runtime page allocation granularity enforcement named as the most obvious fallout | AARCH64 platform mentioned as the affected target | MdeModulePkg identified as the impacted package,
12498,https://github.com/tianocore/edk2/issues/12498,priority:medium | type:bug | package:other | state:needs-maintainer-feedback | state:needs-triage,"[Bug]: For the ManageabilityPkg, move the internal use C header file to under PrivateInclude.",ManageabilityPkg: Internal transport headers misplaced outside PrivateInclude,78,"Names the package, states the concrete symptom (misplaced headers), and includes the condition (internal transport interface headers), but lacks a specific module name and the symptom is structural rather than a runtime error.",72,"Description clearly identified the package, the affected files (internal C headers for transport interface libraries), and the expected fix (move to PrivateInclude), though no build error or runtime symptom was provided.",75,"The optimized title is more concise and follows edk2 conventions better than the original, replacing verbose prose with a clear package/symptom format, though both convey essentially the same information.","Title is wrapped in quotes suggesting it was copied verbatim from a commit message | Too verbose and conversational rather than following 'Package/Module: symptom condition' format | Does not clearly state a concrete symptom — 'move the internal use C header file' is an action, not a symptom | Exceeds recommended conciseness for a bug title",ManageabilityPkg is the affected package | Internal C header files for transport interface libraries are incorrectly located outside PrivateInclude | The headers are shared among internal transport interface libraries and should be under PrivateInclude | This is a structural/organizational bug rather than a runtime failure,
12463,https://github.com/tianocore/edk2/issues/12463,priority:medium | type:bug | package:standalonemmpkg | state:needs-maintainer-feedback | state:needs-owner | state:needs-triage,"[Bug]: ProcessCommunicationBuffer() in MmCommunicationDxe is not reentrant-safe, leading to ReturnBufferSize corruption and page fault.",StandaloneMmPkg/MmCommunicationDxe: page fault due to non-reentrant shared buffer causing ReturnBufferSize corruption,82,"Names the package and module, states the concrete symptom (page fault, memory corruption), and includes the trigger condition (reentrancy), but is slightly over the ideal length at ~100 chars.",85,"Description provided the exact module path, root cause (shared mMmCommonBuffer with no synchronization), and concrete symptom (page fault from CopyMem overread), making the title straightforward to construct.",72,"The optimized title is more concise and follows edk2 conventions better than the original, though the original was already quite descriptive; the main improvement is format compliance and length reduction.",Title is too long (exceeds 100 characters significantly) | Uses informal bug report framing with '[Bug]:' prefix | Does not follow 'Package/Module: symptom condition' format | Includes implementation detail (ProcessCommunicationBuffer()) that belongs in description,Package identified as StandaloneMmPkg from description | Module identified as MmCommunicationDxe from file path in description | Concrete symptom: page fault from CopyMem reading beyond CommBuffer allocation | Root cause: non-reentrant shared buffer (mMmCommonBuffer) causing ReturnBufferSize corruption | Trigger: same-thread reentrancy when DXE event triggers second MmCommunicate call,
12437,https://github.com/tianocore/edk2/issues/12437,package:basetools | priority:low | type:bug,[Bug]: Noise in build process if toolchain is GCC or CLANGDWARF,BaseTools: Spurious 'cp: cannot stat *.pdb' errors with GCC/CLANGDWARF,85,"Names the package (BaseTools), states the concrete symptom (spurious cp error messages), and includes the trigger condition (GCC/CLANGDWARF toolchains); slightly over 80 chars but within limit.",82,"Description provided the exact error message, affected toolchains, and the specific commit that introduced the regression, giving strong context for the title.",88,"The optimized title is clearly better — it replaces the vague 'noise' with the specific error message and names the package, making it much easier to triage.",Uses vague word 'noise' instead of describing the concrete symptom | Does not name the specific package (BaseTools) | Does not include the actual error message or what operation fails,Exact error message: 'cp: cannot stat *.pdb: No such file or directory' | Affected toolchains: GCC and CLANGDWARF | Package: BaseTools | Introduced by a specific commit to BaseTools build scripts,
